[2019-05-09 12:30:24] Login deny (ip range) -> Player: RoughTambour59, IP: 188.6.131.14, Serial: 4C7A25916E670D209281521435A7EEA3, Version: 342
[2019-05-09 12:30:46] Login deny (ip range) -> Player: RoughTambour59, IP: 188.6.131.14, Serial: 4C7A25916E670D209281521435A7EEA3, Version: 342
[2019-05-09 12:32:42] Login deny (ip range) -> Player: RoughTambour59, IP: 188.6.131.14, Serial: 4C7A25916E670D209281521435A7EEA3, Version: 342
[2019-05-09 12:34:43] Login deny (ip range) -> Player: RoughTambour59, IP: 188.6.131.14, Serial: 4C7A25916E670D209281521435A7EEA3, Version: 342
[2019-05-09 12:34:55] Login deny (ip range) -> Player: RoughTambour59, IP: 188.6.131.14, Serial: 4C7A25916E670D209281521435A7EEA3, Version: 342
[2019-05-09 12:34:59] Login deny (ip range) -> Player: RoughTambour59, IP: 188.6.131.14, Serial: 4C7A25916E670D209281521435A7EEA3, Version: 342
[2019-05-09 12:35:45] Login deny (ip range) -> Player: RoughTambour59, IP: 188.6.131.14, Serial: 4C7A25916E670D209281521435A7EEA3, Version: 342
[2019-05-09 12:38:28] Login deny (ip range) -> Player: djalmasi, IP: 37.55.20.138, Serial: E390110EEECD9A0FBB825258639EF334, Version: 342
[2019-05-09 12:43:15] Login deny (ip range) -> Player: djalmasi, IP: 37.55.20.138, Serial: E390110EEECD9A0FBB825258639EF334, Version: 342
[2019-05-09 12:44:42] Login deny (ip range) -> Player: djalmasi, IP: 37.55.20.138, Serial: E390110EEECD9A0FBB825258639EF334, Version: 342
[2019-05-09 12:47:53] Login deny (ip range) -> Player: RoughTambour59, IP: 188.6.131.14, Serial: 4C7A25916E670D209281521435A7EEA3, Version: 342
[2019-05-09 12:48:57] Login deny (ip range) -> Player: RoughTambour59, IP: 188.6.131.14, Serial: 4C7A25916E670D209281521435A7EEA3, Version: 342
[2019-05-09 23:05:18] Login ip check -> Player: #800009W.T~#FFFAAAWOLF, IP: 41.100.204.208, Serial: 022E71A6427E115037F8DBB067BFD053, Version: 342, Country: DZ, Hostname: none, City: , Loc: 36.7642,3.1468, Org: AS36947 Telecom Algeria
[2019-05-09 23:05:27] Login deny (country) -> Player: #800009W.T~#FFFAAAWOLF, IP: 41.100.204.208, Serial: 022E71A6427E115037F8DBB067BFD053, Version: 342
